Descripcion	peso	Xab	Xba	Xac	Xca	Xad	Xda	Xce	Xec	Xcf	Xfc	Xgf	Xfj	Xjn	Xjn	Xnk	Xkg	Xnk	Xnp	Xpn	Xno	Xon	Xoq	Xqo	Xeh	Xhi	Xih	Xil	Xli	Xhl	Xim	Xmi	Xmj	Xnm	Xdf	Xfd	Xlq	Xmq	Xbe	Xeb	Xwx	Xwv	Xvw	Xiz	Xzm	Xmz	Xyd	Xrv	Xvr
Distancia	1	762	673	726	220	444	412	132	505	544	495	534	720	380	211	247	537	492	682	242	480	782	643	306	379	553	193	449	512	282	121	342	125	534	709	598	560	171	720	794	567	162	590	214	617	532	634	395	786
N_Baches	1	0	1	0	2	1	0	1	2	2	3	2	0	2	3	2	3	2	2	0	2	0	0	2	1	2	2	0	0	0	0	2	2	1	0	3	1	3	1	3	3	2	3	1	2	2	1	3	3
Semaforo	2.5	3	1	3	1	3	2	2	1	3	3	3	1	3	2	2	1	1	2	1	2	2	1	1	3	3	3	1	1	1	1	3	2	1	1	2	1	2	2	2	2	1	2	1	1	2	3	3	2
N_Escuela	5	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
N_Hospital	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
C_comercial	2	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Estacionamiento	3.5	0	0	1	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
Restaurante	3	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0
N_Empresa	2	1	2	1	2	1	1	1	0	2	2	0	1	2	2	1	0	1	1	1	1	0	2	1	2	2	0	1	2	0	1	0	2	1	2	1	1	0	0	1	2	2	2	0	1	0	1	1	1
Bus_stop	1.5	1	1	1	1	0	2	3	2	2	1	2	1	1	2	3	2	2	0	1	0	3	1	3	3	3	0	2	1	2	3	0	1	2	3	3	0	0	3	0	0	0	0	1	2	0	1	3	1
Glorieta	2.3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1
