Descripcion	peso	Xab	Xac	Xbc	Xbd	Xbe	Xcd	Xah	Xai	Xaj	Xak	Xal	Xam	Xan	Xao	Xap	Xaq	Xar	Xas	Xat	Xau	Xav	Xaw	Xay	Xaz	Xch	Xrg	Xwe	Xhg	Xfd	Xlw	Xzr	Xsd
Distancia	1	275	149	381	775	502	188	32	574	481	774	601	483	744	275	447	407	194	688	253	462	303	480	762	182	638	225	629	539	253	637	558	598
N_Baches	1	20	8	17	20	13	19	21	13	5	12	22	23	7	14	18	8	28	28	4	16	9	4	27	2	18	30	17	8	3	29	14	30
Semaforo	2.5	3	3	3	1	2	0	1	0	3	2	1	2	1	0	1	3	0	1	2	1	2	1	1	0	3	1	3	0	1	3	2	2
N_Escuela	5	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0
N_Hospital	4	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
C_comercial	2	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0
Estacionamiento	3.5	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	0
Restaurante	3	2	0	0	1	2	1	1	2	2	0	1	0	2	1	2	2	1	0	2	2	0	0	0	0	1	0	1	0	1	2	2	0
N_Empresa	2	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0
Bus_stop	1.5	0	3	1	3	3	1	3	1	3	2	0	2	1	1	2	3	0	2	2	3	3	1	1	3	2	2	2	3	2	1	1	1
Glorieta	2.3	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	0	0	0	0	1	1
